0 -nan -nan -nan -nan 
0.001 0.273626 0.284022 0.262786 0.376645 
0.002 0.0640278 0.122393 0.69546 0.80601 
0.003 0.152752 0.16857 0.452405 0.705588 
0.004 0.292054 0.385494 0.434794 0.522486 
0.005 0.378546 0.279218 0.392681 0.320091 
0.006 0.247718 0.38383 0.647402 0.55126 
0.007 0.31152 0.503751 0.260736 0.255985 
0.008 0.171128 0.104282 0.627531 0.861553 
0.009 0.305602 0.0969751 0.24973 0.128315 
0.01 0.158718 0.0717699 0.804716 0.733507 
0.011 0.356039 0.479879 0.19905 0.189258 
0.012 0.0723418 0.171346 0.912596 0.78417 
0.013 0.0191707 0.01356 0.504173 0.785851 
0.014 0.151661 0.235691 0.316933 0.562888 
0.015 0.249416 0.485659 0.304073 0.346404 
0.016 0.464745 0.300578 0.102533 0.137359 
0.017 0.154875 0.270991 0.643261 0.670038 
0.018 0.119639 0.0550237 0.195611 0.39402 
0.019 0.00623898 0.0125726 0.879425 0.981591 
0.02 0.000491238 0.0818799 0.0177003 0.105232 
0.021 0.0432762 0.202659 0.0535609 0.0373157 
0.022 0.134348 0.242228 0.255334 0.502957 
0.023 0.395694 0.236205 0.46457 0.397167 
0.024 0.352979 0.292115 0.461519 0.634691 
0.025 0.282891 0.433331 0.400367 0.482048 
0.026 0.298187 0.417098 0.491632 0.524731 
0.027 0.407117 0.267134 0.475022 0.463764 
0.028 0.487194 0.222559 0.0905936 0.110098 
0.029 0.198692 0.356398 0.665455 0.626698 
0.03 0.380901 0.114994 0.0773774 0.0704708 
0.031 0.133957 0.196885 0.829263 0.672595 
0.032 0.147737 0.167136 0.490909 0.608113 
0.033 0.19591 0.0476956 0.0350224 0.137413 
0.034 0.144776 0.00919584 0.106048 0.0280978 
0.035 0.0854472 0.0067593 0.293455 0.105686 
0.036 0.0516416 0.00607661 0.353977 0.136904 
0.037 0.0360763 0.00692957 0.256071 0.071604 
0.038 0.0254342 0.0144919 0.0723023 0.0119986 
0.039 0.0133493 0.0223573 0.0370794 0.197346 
0.04 0.0141184 0.0126726 0.426441 0.719473 
0.041 0.0406123 0.00178903 0.92854 0.983632 
0.042 0.0416363 0.0534919 0.62774 0.365606 
0.043 0.00483326 0.105426 0.0224826 0.0796034 
0.044 0.0726092 0.0356398 0.608283 0.897676 
0.045 0.111755 0.0844427 0.679103 0.458063 
0.046 0.0311035 0.165802 0.0441241 0.18916 
0.047 0.175781 0.052716 0.790902 0.914777 
0.048 0.0885606 0.218446 0.156572 0.0228366 
0.049 0.177937 0.0979936 0.574791 0.872079 
0.05 0.160452 0.233633 0.284691 0.084031 
0.051 0.20066 0.137949 0.491791 0.812972 
0.052 0.193167 0.27167 0.253121 0.0672569 
0.053 0.266777 0.142035 0.549045 0.832253 
0.054 0.17856 0.332276 0.136321 0.0416698 
0.055 0.362298 0.139824 0.61507 0.743145 
0.056 0.164138 0.350492 0.125794 0.259529 
0.057 0.390303 0.223146 0.466772 0.342196 
0.058 0.277954 0.24625 0.376881 0.690934 
0.059 0.261061 0.38539 0.169798 0.0591292 
0.06 0.458587 0.182098 0.510871 0.570343 
0.061 0.249303 0.33726 0.275398 0.532529 
0.062 0.33843 0.38032 0.215326 0.0672707 
0.063 0.491454 0.191914 0.465079 0.558818 
0.064 0.279503 0.348372 0.306156 0.556656 
0.065 0.333471 0.416283 0.198116 0.0846314 
0.066 0.529898 0.220691 0.385786 0.385324 
0.067 0.372435 0.284972 0.388286 0.6586 
0.068 0.277427 0.450197 0.228964 0.253399 
0.069 0.487282 0.324147 0.256711 0.126077 
0.07 0.527651 0.206938 0.38539 0.528472 
0.071 0.325473 0.356538 0.363377 0.589544 
0.072 0.32064 0.452397 0.247688 0.208621 
0.073 0.52443 0.306312 0.240268 0.131534 
0.074 0.546347 0.207133 0.345167 0.474812 
0.075 0.358824 0.332539 0.394613 0.616879 
0.076 0.302612 0.451945 0.314102 0.334792 
0.077 0.469558 0.365228 0.221387 0.0992402 
0.078 0.585629 0.219381 0.251398 0.262169 
0.079 0.47789 0.237496 0.368832 0.563541 
0.08 0.316215 0.381496 0.418216 0.577737 
0.081 0.330551 0.44066 0.33088 0.301916 
0.082 0.493299 0.338156 0.212857 0.102144 
0.083 0.588155 0.211765 0.210821 0.217462 
0.084 0.501998 0.214791 0.334601 0.497099 
0.085 0.345504 0.332847 0.448467 0.620168 
